Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Fastening and Back Detail,Pattern,Occasion,Ornamentation,Ankle Height,Sole Material,Warranty
Shoetopia,Textured Pointed Toe Ballerinas With Bows,₹799,MRP ₹1999,(60% OFF),4.4,78 Ratings,"A pair of grey pointed toe textured ballerinas & bow detail
Slip on detail
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Slip-On,Textured,Casual,Bows,Regular,TPR,
Anouk,Embellished One Toe Flats,₹509,MRP ₹1699,(70% OFF),4.2,877 Ratings,"A pair of pink open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,TPC,
Shoetopia,Women Flat Bellies,₹799,MRP ₹1999,(60% OFF),3.6,65 Ratings,"A pair of gold-toned Ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Western - Embellished,Regular,TPR,
XE Looks,Embellished Doctor Ortho Lightweight Open Toe Flats,₹974,MRP ₹2499,(61% OFF),4.4,81 Ratings,"A pair of tan brown and beige doctor ortho open toe flats
Upper material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,PU,
House of Pataudi,Women Embellished Ethnic Mojaris,₹1775,MRP ₹3699,(52% OFF),4.7,16 Ratings,"A pair of blue embellished mojaris, has regular styling with slip-on closure
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Comes with shoe bag

Disclaimer: This product has been crafted by hand and may have slight irregularities in print, embroidery, or colour between individual products.",Mojaris,Round Toe,Slip-On,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,
Luxyfeel,Textured Open Toe Flats With Backstrap,₹799,MRP ₹1999,(60% OFF),3.9,106 Ratings,"A pair of back open toe flats
Upper Material: synthetic 
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Textured,Casual,,Regular,TPR,
DressBerry,Women Nude-Coloured Textured Open Toe Flats With Laser Cuts,₹799,MRP ₹1499,(Rs. 700 OFF),4.2,2.1k Ratings,"A pair of nude-coloured open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,PVC,1 month
Allen Solly,Women Textured Ballerinas,₹1263,MRP ₹1599,(21% OFF),3.9,77 Ratings,"A pair of mustard yellow textured ballerinas, has regular styling, pointed toe, slip-on closure
Upper Material: PU
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Slip-On,Textured,Casual,,Regular,TPR,6 months
Roadster,The Lifestyle Co. Camel Brown Leather Open Toe Flats With Buckles,₹873,MRP ₹3495,(75% OFF),4.1,182 Ratings,"A pair of open-toe brown solid one-toe flats 
Leather upper material
Cushioned footbed
Patterned EVA outsole
Warranty: 3 Month
Warranty provided by the manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,EVA,3 months
Gibelle,Embellished Strappy Open Toe Flats,₹549,MRP ₹999,(45% OFF),4.2,145 Ratings,"A pair of cream-coloured and silver-toned embellished strappy open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Ethnic - Embellished,Regular,Rubber,
Shoetopia,Suede Open Toe Flats,₹689,MRP ₹1499,(54% OFF),4.2,58 Ratings,"A pair of black open toe flats
Suede upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Zip,Solid,Casual,,Regular,TPR,
AfroJack,Buckle Detailed Suede Open Toe Flats,₹1299,MRP ₹6495,(80% OFF),3.5,123 Ratings,"A pair of black buckle detailed open toe flats
Suede upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Round Toe,No Back Strap,Solid,Casual,Buckles,Regular,PU,3 months
Shezone,Women Open Toe Flats with Bows,₹699,MRP ₹999,(30% OFF),3.9,234 Ratings,"A pair of nude-coloured open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Peep Toe,Slip-On,Solid,Casual,Bows,Regular,PVC,1 month
Shoetopia,Women White & Black Colourblocked Open Toe Flats,₹599,MRP ₹999,(40% OFF),4.1,646 Ratings,"A pair of white & black round-toe flats, has regular styling, slip-on detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,Slip-On,Colourblocked,Casual,Bows,Regular,TPR,
XE Looks,Perforated Doctor Ortho Open Toe Flats,₹924,MRP ₹2499,(63% OFF),4.4,182 Ratings,"A pair of black and beige doctor ortho open toe flats
Upper material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,PU,
Picktoes,Braided Strap One Toe Flats,₹629,MRP ₹1799,(65% OFF),3.9,95 Ratings,"A pair of black one toe flats
Upper material: synthetic patent
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,Synthetic,
Luxyfeel,No Back Strap Open Toe Flats,₹799,MRP ₹1999,(60% OFF),3.7,48 Ratings,"A pair of beige open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,TPR,
